19870627-103713,CMP,aRNPaLyIqIwsvZXWHWWLCECnBkyQKNKiQgxUxGpVKWIfQGJdKPUPqk,0000000884,ACTV,MP,BB-,1857-06-23,15079 Decatur Rue,,91346,Gary,Manitoba,United States of America,Theilen,FMcSouZZtLYmhxiomlLzwjyXu EBOtTebROsEWLdnPsIyVDTcAyQPGHWENytKyrCOJ
19870627-195849,CMP,OFeANADIjKkSVkUcrmrJNWHmyDyRMFGFdbWSTWdCQbEZDoBzknAKdAlDy,0000000883,ACTV,SB,C,1868-04-23,9182 Travis Boulevard,,93826,Dayton,SD,United States of America,Thursby,MwIHZHWTJrALfbtqGRVEiUWLDqbGckxfCOaHnwRMALhOBPzGCPlFGzkjVDRZFpkoz
19870628-125349,CMP,XbiQBwrrDNKyqmTNFACfOE,0000000882,ACTV,RN,D,1928-02-09,13099 Barberry West,,T6A 1H9,Sterling Heights,DE,Canada,Flegle,AU  IEXSje
19870628-125643,CMP,rRnLKIZWRCereKFPVwPGqIoPBVXuTyWaWocjttUSPvpYJhtBOmYCuzQ,0000000881,ACTV,MG,BBB+,1860-06-21,18563 Long South,,M1I 1P3,Modesto,OR,Canada,Malinchalk,FQUKqkPfgyLxkCr jv JiLiKCQJaREPnmbMYlBZPDeiKjmbxrFaIRJLQjwcWQbtbmRLBSpRWrJGzVtBRwCRVRMlsKmWGxirpCzFcfdxBpUTA jjLLiCqDcEgIuTzfJUpQVXbMnXQH
19870628-150955,CMP,dBGupiqowlsOIoBzYAAROILSeMAMCLVcnVsEgRWTuSFXnJPUPZrq,0000000880,ACTV,IS,A-,1955-12-08,18124 5th Park,,10291,Charlotte,MN,United States of America,Hillen,JFnVNKvTDoxKFIPOxiYpjjVFEREOxTHjkJrgfkkdIrhjFwKhPXEqJEirkXOKMbqBFeEGjSuVuNgDMVsB meqyxiHjDTibYSwLzaGjRicLwLDAJnLKgPWL
19870628-194703,CMP,emZUyOIHpwBMYQyuuOadTjwchMPBBTBozTjrBb,0000000879,ACTV,RP,D,1936-08-05,5140 Emerson Lane,,V6X 1S9,Oakland,AK,United States of America,Leisch,ChNGArVPVMJGTIDwZXInJlLOZOeIjzLJbYREHbvAqlMKbemNVDsLrbXHXXRNFktivUTezxZBSQwOyAgIpSto
19870629-092719,CMP,rIbxwGBFdppZFAjOyowPoSkdzyBRgRAPhQftMkEhOJYPokQNAaE,0000000878,ACTV,HI,B,1984-10-31,3214 Minot Boulevard,,10058,Virginia Beach,IL,United States of America,Whisenhunt,cCFFkqhVyrJPpfKWcTZaivnthBSWExHn
19870629-154656,CMP,EeMrWVeqroIqpqyQfituQAmgegbBNcBeQSWiQOVzfEy,0000000877,ACTV,CL,CCC,,9907 Upton South,,77264,Aurora,AZ,United States of America,Kueker,IMZouLHAqSsqCWnYsUTHM
19870629-194122,CMP,MvGMcGLJMNhgAJpDZodCOLmqCvabXTOSkfu,0000000876,ACTV,RN,CC,1884-01-08,23011 La Cienega Lower,,V6S 1W5,Fontana,CO,United States of America,Gallihugh,EyfJuTJHBfSGuGkS rEsuHtuvpRnevhJsYBsrvNhgfcZYvyReWFMNJMGQzmkKrPyPpUAxTNiXfgVVEDbpSxYHjMFjDLLAaQzGHyClFvSAK
19870630-110732,CMP,gpEjFXUZIRjCVRIOBxy,0000000539,INAC,TR,A-,1931-08-02,15880 Chestnut Rue,,32814,Sioux Falls,WI,Canada,Scheppe,VUmZKuRwYIAz lQNYObNLFIYZLXvGMWabzOJpdMoOlCHmN
19870630-181403,CMP,qJnABEjhWqTLTRLvBExDyceafBFIJtUrKalgBAMHkJ,0000000830,ACTV,PA,AA+,1875-02-07,8705 Flagler Park,,H6B 1Y1,Long Beach,PA,United States of America,Villapando,EhxSnpKEIrqeokMMeus FZSjFU jWpJYomhNXRQmHJwjizpbtBHDDBuLGysTkDqBHJDp OEngBUzIWowaQsdBkFRFhXTXvfPaonMrQMdAOgD VbTdVNjR KmKIIyoAyhgUhgzzxHwfoCTWyf
19870630-203528,CMP,GkLczKITHHbjNzGnAGIFCiXVAhFIUnzO,0000000885,ACTV,WM,BB-,1923-09-27,111 Rose Crescent,,72919,Santa Clara,TX,United States of America,Oneel,olRIeT  OtuUHZwqRNXvKMLdVFpGKRhHDEUAgFswApEBPvxyiSirUl
