20001229-232118,SEC,COMMON,ACTV,LmkUAhThDTiGyvPXPSULopENLgPpxtcUZHSJpnxbFEDNOKojtouEpWXOAGWRDSGTqnKLJT,AMEX,672053050,1866-03-31,1881-06-10,2.21,WcJtRNQGFHXsgiwsEePTIPRpxRtWFSUyQFLWmpuOP
20001230-004620,SEC,COMMON,ACTV,YhWRsnsBedLSMpIP,AMEX,741139116,1923-02-20,1904-08-09,0.55,IjKacMLAOXkVQpnyMfGwTkkIrA
20001230-024013,SEC,COMMON,ACTV,KttfTJcsIrYjKCYmPHcW,AMEX,907305976,1917-02-07,1987-02-16,0.85,maNnBELccTuKDXojbbmSqMAOzQwExqMJWPLSOAAZCgXQxjEfFO
20001230-043842,SEC,COMMON,ACTV,xxfhbUUufyVDiNVPx DVVjx,AMEX,68904923,1991-01-09,1879-05-19,2.92,GSKvWkPkitGVUEBLrBKBPnJnCrPQLYgBvvSZBxIVcNA
20001230-075321,SEC,PREF_B,ACTV,rFnJWGFQFV,AMEX,40225594,1922-08-27,1951-08-23,1.28,eDoZzEQbmVPqThVqEYyxdVtutXBJPQuTedGCiCAwoRqRYbtOrI
20001230-102627,SEC,COMMON,ACTV,RJqnRLtHzjYIpUNldxkKLJepPXOkqfK,PCX,790101163,1913-07-20,1991-02-12,0.56,0000001394
20001230-143614,SEC,PREF_A,ACTV,hTgylgjVFvZadMTZsdLyY,NASDAQ,633268869,1951-01-26,1952-07-25,1.24,0000000639
20001230-164421,SEC,COMMON,ACTV,hnUyNJauAUnxavJMuALVSDockkuiaTWLKfPAeyBPgndU,AMEX,233893815,1860-04-17,1871-02-24,1.98,0000000514
20001230-180220,SEC,COMMON,ACTV,pplOndxnNULjwCnH,NASDAQ,17575236,1880-06-10,1945-11-04,2.03,VepDAmucwcBMPxMBQi
20001230-201943,SEC,COMMON,ACTV,ZiEZUERrNFlcOOAWQTxVCdRKLrNOeavtgSZYDDJmqbjPKg,AMEX,494845340,1993-07-20,1908-04-20,1.98,0000000462
20001230-202037,SEC,COMMON,INAC,Lj MssdTpHuEMyOyNMFWMAuPnyJdIyDVHGYSdmMVFjwxlKlMPWKArvhjblgkIfao,PCX,786816405,1913-08-22,1969-06-09,2.14,0000000354
20001230-231301,SEC,COMMON,ACTV,IeIf xmwNTJpHhNvwQSWpeJPG,PCX,390038994,1998-06-16,1949-04-10,0.80,0000000573
20001231-025428,SEC,COMMON,ACTV,gntFCstYlEglLkVNvSLbgFGwQvXekOQCi BiBtbvfTpRyRNFzzYhSAXpsX,PCX,841287183,1868-08-06,1949-04-16,2.65,sTQMgDmKWkpVvTcbNVEYAAaNPpsbTHSAQlPPSY
20001231-035544,SEC,COMMON,ACTV,uztWSUyQVPLBCZDAlQhmxSNSKxsMVdrkUyNqCaTXIKDJSl,NYSE,458202092,1915-12-20,1970-10-04,2.05,0000001217
20001231-043200,SEC,COMMON,ACTV,fnctRTJHYQFqAGO  RDOthIgJtUVaWMhAKDTpOyxZfbWBOaXjoGLzAZeFl,AMEX,821392639,1984-07-16,1860-12-11,1.25,0000001153
20001231-052324,SEC,COMMON,ACTV,KIvzSMGFNjGWIR DVXBwFsEphfwCfFHujvsaDtmlLCMAwBnwHvNNOAG QVLPDDMWTGxcJy,NASDAQ,591070877,1969-08-09,1866-04-16,2.02,YizVVyeBDXQslLJvCEpoEbpXETzIDBMhOIofgRHzKWoOqnNrpQ
20001231-110115,SEC,COMMON,ACTV,rdpULrZbKIRQHaUIaKWByF,NASDAQ,745803670,1907-11-25,1984-04-08,1.18,0000000690
20001231-183042,SEC,COMMON,ACTV,PrzCecUXKkh,NYSE,648292744,1915-04-14,1998-10-29,3.00,pSAkdNHEKtiEnYUfPOsRBUcZ
20001231-193106,SEC,COMMON,ACTV,SYckyxiQeqlULQgRIJcOcDIiHTVQXYPpiMdk,NASDAQ,240371942,1925-01-03,1856-04-29,1.15,0000001272
