20081001-004453,FIN,2008,4,2008-10-01,2008-10-01,3030587809.68,261261873.20,8.76,8.73,0.09,10841963.25,752096972530.63,9253023530.91,29836500,29914,1570000001052
20081001-011200,FIN,2008,4,2008-10-01,2008-10-01,1180463254.22,667474977.04,1.47,1.37,0.57,5434905.44,784533154961.26,7376289693.29,453247011,486704,1950000000747
20081001-022601,FIN,2008,4,2008-10-01,2008-10-01,2220152951.04,1038798805.27,1.62,1.44,0.47,858299984.33,274626400334.16,9541008408.35,639640365,719901,0800000001623
20081001-043038,FIN,2008,4,2008-10-01,2008-10-01,7653921283.78,896225370.02,1.66,1.54,0.12,601214591.91,300738726197.19,7692518505.81,539709533,583067,3040000000415
20081001-051536,FIN,2008,4,2008-10-01,2008-10-01,7565154208.72,3236239350.36,8.49,8.43,0.43,412112473.37,54993370155.31,7211962437.91,381031918,383816,6060000000110
20081001-054213,FIN,2008,4,2008-10-01,2008-10-01,178948298.71,37708642.97,0.05,0.04,0.21,941386832.00,279398550629.01,1257360695.16,764046072,886647,854UKyJrfKMmwwDYXhauX
20081001-055554,FIN,2008,4,2008-10-01,2008-10-01,5780020583.63,2426130798.40,5.08,4.66,0.42,388103120.28,558829423378.38,8206492.78,477630015,520777,918DGTOMQZpuskSFvRlacteoJVjABKOCXSjfSpHjOPpVYSq
20081001-083115,FIN,2008,4,2008-10-01,2008-10-01,8304947256.67,3094434853.92,90.65,85.45,0.37,544192013.86,588072402060.14,4891714031.27,34135746,36211,3190000000872
20081001-105205,FIN,2008,4,2008-10-01,2008-10-01,5665778961.00,1650236794.91,2.84,2.58,0.29,861226694.82,494811689059.59,3268487463.01,581236421,639412,1800000001164
20081001-133103,FIN,2008,4,2008-10-01,2008-10-01,7958442045.27,85787486.35,0.23,0.22,0.01,889328333.02,83880935125.44,6507792409.27,379138842,398917,367UDxHHIoYtapueOohPCslLQDSQUOYJbBqKtdFrzBkuEuiOyZd
20081001-152408,FIN,2008,4,2008-10-01,2008-10-01,4353095179.37,2792369342.03,15.15,13.88,0.64,595503020.43,212354442144.55,4304400756.74,184282038,201198,558TPgQDRvoMsPsjblwFjKkKzPSDTkejfDGttpmqUMxGXjJBRH
20081001-180843,FIN,2008,4,2008-10-01,2008-10-01,9082354505.03,1436195535.67,3.61,3.11,0.16,888927219.40,943062361358.96,3158425623.38,398344121,461271,9440000001492
20081001-184712,FIN,2008,4,2008-10-01,2008-10-01,2990024551.23,1742395658.08,9.22,8.02,0.58,217534813.46,465343788678.26,8592702876.64,189024344,217306,569cuOGJiGsXgipkuHAMTDmJ
20081001-213055,FIN,2008,4,2008-10-01,2008-10-01,5113582820.55,2362026140.86,6.06,5.11,0.46,653951061.08,124363251319.17,6255650039.83,389882884,462302,710CtMDEtLCRBctiXxtKWszaOpmcKdltTKXLWjZMDEjjLNeCG
20081001-223333,FIN,2008,4,2008-10-01,2008-10-01,5001979008.30,1327174542.48,1.54,1.45,0.27,135948657.92,187493532731.98,7320018141.51,863566028,913235,9930000001734
20081002-000259,FIN,2008,4,2008-10-01,2008-10-02,6169453913.10,4056244981.89,27.32,24.18,0.66,965301844.99,404353927950.08,7973742716.10,148477860,167762,0370000000287
20081002-014306,FIN,2008,4,2008-10-01,2008-10-02,3540461467.64,1242887545.22,1.94,1.78,0.35,669702247.90,999367027768.17,1322911204.48,639261902,697075,455WmclLXAHrzuAMRvHcePKsuXyQYVgBYSVeOhXJWGv
20081002-024532,FIN,2008,4,2008-10-01,2008-10-02,7755101474.50,2259059725.51,5.86,4.96,0.29,412498322.21,245861697239.38,1951736450.00,385583703,455099,105VRCqMDchijxAuePBgjywAGgqrVRBEFpiTlAyRVbIdJsaEVtlYWHXc
20081002-042016,FIN,2008,4,2008-10-01,2008-10-02,4018004800.30,1000430774.26,7.23,6.65,0.25,822470646.54,558312277164.43,7958011929.42,138356411,150412,8540000001424
20081002-062855,FIN,2008,4,2008-10-01,2008-10-02,1732398812.89,880617048.03,3.09,2.62,0.51,24126127.13,913916605002.96,3580069801.25,284927477,336050,8110000000320
