19671209-013009,CMP,RSWvpXShAohbCnBYubXQUbMLtPavDHUQn,0000000102,ACTV,NG,B,1957-11-23,9993 Kelvin Park,,85245,Saint John,New Brunswick,United States of America,Keeley,sERHVBHVJeJPLASRBuYUbKLdKlCEaLcNBJNeDDdqJurKpMMhUDwCaccTGbTxDHGTHnsBPyPxJllvIeLJMVzyPdLXbSTU
19671210-112810,CMP,VNUMGRlTCSQKEfjLfhaUANwnlPAHDkoFxyHfydObCUUeDgBa,0000000027,INAC,WM,FrD,1886-11-19,2336 Shelter Rue,,37405,Austin,British Columbia,United States of America,Diel,RpMKizqHECrKZatHKIARjWHKvOBGfCQStJIJWdkFovmpjAmEKEFFSKlWmvmcTZzzifrbZwrSxR ZhzEy eRFDgI REPTvIEEpNkkfnUQGDxJJE OopbOKnEONkdlzVWQWNLl
19671211-075534,CMP,FQCxtQRoMnVlnjwEERVRrjOJDAIyWTEKGCbBNsvTNBMQXXA,0000000100,ACTV,IL,BB-,1870-07-06,7510 Shaw Street,,95206,Provo,UT,United States of America,Jackson,lfefpDVRxcbWnMpizUSoDpZGsmTTSrNLxtNJLYBRNKsvMqDvhIyDGPECDGVcMAOTIHUrKAJrUSHlBR
19671215-123401,CMP,dBBCsCzeivSxrOWJZkMbNfLitfJSVqvvAy,0000000105,ACTV,AM,CCC,1878-05-09,19551 Wainwright Lane,,B8A 1Y5,Sudbury,MI,United States of America,Falvo,sfHcZPmfqakJnv
19671216-191413,CMP,OKehKyGaHgbEeBcBDAnFaXwXmCfzDCIig,0000000098,ACTV,SP,b,1936-03-17,10513 Barberry North,,85261,Columbia,KY,United States of America,Husman,BFbtSAhumJREbHHDkqbvPazYkVyMPoqTfvYNDBxrBzB
19671218-112857,CMP,CJDIgUzBAIqWZQVUTlyQjQGEMKgPacOT,0000000103,ACTV,AD,D,1867-06-27,23007 Wakeforest Way,,33624,Corpus Christi,FL,United States of America,Peyton,qefjtGHyOvPCmcRWFQqRHIOTVOZpNLKdDLjoqgNNtH BTFHbR A ENMJGBuJaDSPHvakOkUhELRMuxLDClOZtdJHnHcKXQngAFClYEDLPHCsayVwBQu TsWTBPh S
19671222-064131,CMP,YwfZSzCHnIqSMrTYCCEtVKrNxTKQsq,0000000096,ACTV,IL,D,,4333 Mockingbird Court,,T6D 1A8,Nashville,IA,Canada,Menzie,JTADNyYRGaGEIvzVTjyz  kXfSUgpWKWOdnlMxnVoGlIEKgFJqjHIYtKBHLIMHZaIXygnMTsVUTjlHLqTCWOXzDGQKQsFcQLUXKfIqWEMDycKYnngMIyJfmXvnUtOGxXfTnBJJNNQdE
19671225-105029,CMP,FCOCNTOPibcmwDBHblaHXU,0000000101,ACTV,SB,C,1962-02-01,12387 Saunders West,,38124,Waterbury,KS,United States of America,Miscione,GLjvHFMqOQvPO nUIwitqDAlFLJLWP MNexpJfsdYAGGWWqpHkQWPmSDZRZVUlChXZkCaDUNtHGcvzVPYgCzkCzTIEQbOjqRdQbV
19671226-060813,CMP,BlzKUNpcdbxQGHwUAaQlIXGgyZmHnyRREOKBwpXvXwwWEOWiNJVMXWALS,0000000016,ACTV,ME,CCC,1868-02-27,15927 Flagler Way,,73140,Tucson,WA,United States of America,Galizia,FOwdnLOyVOIyIMXSCmUmdEPFWnqJvQQnekukvmPxkRTh
19671227-200251,CMP,KJhQqvrlpQBidNaiKSbeNNikTGFNyqfAokZNpWiMnQ,0000000099,ACTV,OI,BBB,1955-03-02,21782 Miller South,,95223,Madison,TX,United States of America,Chu,FA qXIrpBPVAyvTYUGsXYIZqTaaneGxYaTLmW moOLfAIsMKHpQiABXEkKvRDVbPHBQMbMyupWUCTvALvSwESBQLXHhzVIbptOLQvIJq
19671228-072332,CMP,JNrlzArRLtDOXxp,0000000104,ACTV,OE,BBB-,,21459 Glenview Lane,Apt. 345,T6B 1A1,Greensboro,GA,United States of America,Paskey,MjTb EICwgeQrphUdCCpElbPQUSQPnbzqKz
19671231-235958,CMP,qKRGeBmCgmRgpBiQpEFEbdIWFBjPxEfNXDuazKBKUXCkjdvYg,0000000097,ACTV,CR,A,1924-05-03,6488 Applewood Drive,,20065,Corona,PA,United States of America,Deller,qPgsehnvBxCVRQbIRBBqMBJKXBXdxAsyppIvBHOPNIQcJEVmNjMPtoZtRDiNDtFNtXuGYgqhBM dnSNkVvJN jlIdicYPhKPQPFtjhtDdcMVTQjGZptZKCcBowcdjJtBLNkoRNQJWEEULB
