20140330-135259,CMP,jUguWEMEWoFRvyIQVVVZypyLseGOWfcGLobTsIDScUaBKXNkf,0000000255,INAC,WT,CCC+,1898-07-12,10484 Waverly Road,,V6Z 1R1,Salem,ME,United States of America,Holdorf,vMVGHnxYgTGXwdJzMKcXKrcZFNgsEptrcfKIYGToUVlDSsuPzJJqyHdBGeVaCVORiImOaigrltPKHhpMbmQB
20140330-205609,CMP,WzWLDSkgrMOFTKWXnixd,0000001952,ACTV,MH,CC,1960-08-12,12513 Wesleyan Boulevard,,93771,Houston,DC,United States of America,Kirkman,qPgBxcWTlkmkPQsGepbBKkKVKNKrZSJypbTYDWVMkjJFVPHMDTVpoQnWebtAQfvFlCPOGaVDbNeQRFqleuukpWazGSFIsDGBxtxBVlbCrU ZHNidWTLlFjAYuAHLDIDJgsBYZBt
20140330-222452,CMP,xbCGSvHtpaQLBhTBRIxIDAebUGbmtjEsSlfmQZVKwqOgzVKrLIQEGhEMOS,0000001947,ACTV,IP,A,1874-12-30,19932 Clower Street,,72284,Allentown,VT,United States of America,Shankland,hAGMERaqKVTVAsXPnkHKPDRaoJFCGQZeGIJQcSEZKsLRCBlldqyElYKtbGdLSphEdCgudriqlBDScTUon AOlCKqEgELIHRVaEaGjTpwGtqLdUQVApTPuiYpAqEPIRJDJAARrbzuDOcLzNOFgw
20140331-025353,CMP,QgpSMYshjUscSstcWbYtOYaqfA,0000001954,ACTV,BS,B-,1967-08-18,24898 Donaldson Avenue,,93328,Wilmington,KS,Canada,Nuzum,yFOpCEVujZ gvIMyETYVVBGplOFTvSGydUqMfVYidUOXKBTRvHAyluOXSfFERpjXCjPMdWvGOFovqOAONE
20140331-045514,CMP,EgLeVAIpLCpwkFgOPJuTSPWPKF,0000001949,ACTV,FP,A+,1980-02-10,3327 Buckline Court,,90776,Edmonton,MO,United States of America,Furse,PBBcBCqSqzukblAuoArFvCcRlmINFjFAtMUSkATAZklZPWRMeLAA YIUoLWIqEGMnPTTbQKiNDnX PxRzcyZfQrN
20140331-045704,CMP,WaKEBHRWtsZRNSua,0000001347,ACTV,TH,D,2009-01-07,5090 Edwin Crescent,,92029,Mobile,IL,Canada,Gionest,GrBoGZcrhaLJaeSgNSJWbH KUIRmntxEVDTVIuGXOAuFiAtXMjIgmbHSeQmEcZRmSsUSk qysXRHBytUiPlQIMZVmvswHN ZQGkZBAWhecQOYqQVPeKSWFTppj BCIFfWSGpmxcULHZJexEIAfrVL
20140331-065624,CMP,CINcuvGGHBWFSTNPKgkNgPAsyQhBUEtwRIRQPDLSuAMPsytDWDiZsIQtAPhu,0000001951,ACTV,PA,BBB+,1949-07-28,13729 Warner Lane,Apt. 234,80067,Fort Lauderdale,DE,United States of America,Penttila,XzuGsMoexlkMD OYMMBQehhvEELhwUkdFesaXtFKqYUnvauEQoEyDXrJroiNxpHCJIgQATPTuSwZmIbjwrLSugoOUBpNDqdLVLqfSWKVL
20140331-110211,CMP,TVQExWRVcOgHzywrZsiYWTZbWVjPpBz,0000001946,ACTV,OS,B+,1919-05-13,22649 Weyland Rue,,82005,Tulsa,KY,United States of America,Miyasaki,RvrdJhQHFKqVvEwytnfcEutJCfUKJPPzfrfVI
20140331-134948,CMP,PCPoTHIfLgQArHlVEaTguftVOevGXDEk,0000001953,ACTV,CL,A,1879-03-11,10795 Balmoral South,,89141,Manchester,DE,Canada,Niven,uxDqROypLrACKgiPerDIZIDycmKHNowxfmUwUcMJmQrRjEUs WulPjxGQtsBrCOBjbZaWmxA N MGlDQIWOEjEfxzcP
20140331-171111,CMP,sDgDacxGTVExjAIlSEjxUV,0000001948,ACTV,CX,BBB,1887-10-09,16869 Rosedale Avenue,,98139,Sudbury,Alberta,United States of America,Muhammed,v LWueZGClMoOdiSRZewCsHINmdbJrTGCPieDhBsPDncvvaPzDTlBPrHGQHtJFhMBOfEmwrCVeAsrfTQ
20140331-220351,CMP,NgYibzrpabMbBLfVzlWSMzMSMgybgcWzpwEMRrKgKSXPXpCXjGfJZFMhD,0000001955,ACTV,RE,B,1968-05-31,20094 Manning Rue,Apt. 791,23249,Shreveport,NM,United States of America,Latina,jsgeuNxqTwCKSmuSIIlBEyHecqKqjUFRXIwGXMfWkAXvJpTBj UMfDvNtpVAOTpskdFncWENIjToVsw vqvgJOelGfBVIAxvIBehDybmNNAKJodHTnwtMbQjKISDXcXdhyJYPhVtTNQSNOUTmAPN
20140331-235958,CMP,zBwzXANVbtKmNumCrNJhwBtAUMYlXfGYiVRCaoEvcKszhOzewMDYDADEQ,0000001950,ACTV,NG,AA,1900-04-15,1839 Katherine Court,,45435,Plano,ME,United States of America,Cray,lIGpnIkUPSQL vNIjPTkDkwXfRPtqoWnAGtKKTBERkMHIRGZ QUlaZCUjLFCQJTSXTNPSSNdZfLUlt
