20160330-092024,SEC,COMMON,ACTV,JPGmFwgIfNRsfQUivLHBMUlrKj,AMEX,733897822,1985-01-26,1853-10-31,1.69,PTNTHCLWsriUMNBFhDQDGtmBPPNiLOSaNy
20160330-104029,SEC,PREF_A,ACTV,qAGLHAvJEPLCOBJgrHwDPDhNabYFnHkgZGUlLaydvh,PCX,125831853,1980-05-07,1899-11-29,2.52,0000001581
20160330-120342,SEC,COMMON,ACTV,NZbZXPhVqbHmPyoPGLyrwhAPXJbmJWU RKcWMOHQjDOmJUsBMRZK,NYSE,194320702,1962-01-23,1915-01-25,1.65,ZnOHfpERKUwvcVVIXyTCEHMVhvOpXRRwrSSY
20160330-125633,SEC,COMMON,ACTV,uYEVyJULvpGngcE cMj MyUKtNQDIU,PCX,342487483,1920-01-14,1879-06-26,2.86,BuNGpoMHPxRZQaTKUJVBejYxkwHgdqtjVOVPdgRWVeLjCftVSJ
20160330-131843,SEC,COMMON,ACTV,YeDosvrRRQMcJEyLDU,NASDAQ,834551030,1958-09-15,1882-12-14,2.53,EdBsmcQFSyyscMmjpCSNCuRPQrtlZuLFTICvHs
20160330-153443,SEC,PREF_A,ACTV,uMHtLHYUGHxyqTUTtSDfQnObcSodSTyTPmZKAQTzODxQATQSdWbLDQC,AMEX,800408399,1993-01-05,1889-01-09,0.57,RLjhtKlUmfoJhUDVTLrWpRzHYfKThEqzhoWNaWCnyGIpnDFEVg
20160330-174209,SEC,COMMON,ACTV,F cGMRLalHPQClxCECFZmHGhaHzEYNcuRbuMetC,NYSE,538064584,1894-08-31,1931-06-27,1.34,PbAOEzbRKTmFfnQSsBfpbTVUXNnIVaAsgTLLtDZskJYyEyPONN
20160330-184949,SEC,COMMON,ACTV,rfzgtPXJOaNXTevjDpipDGtOCDtIFOAbhsKPBapMCwveniLycISeGGSrENUbQH,AMEX,950140799,1903-09-28,1981-04-01,2.68,QNZUltgBGCXGYshw
20160330-200936,SEC,PREF_B,ACTV,kHL OmdNQlkQYWlHBEBzICUQiZiAPWcwoqNPBnICY mDWMdTQfKZCNe,PCX,490617697,1874-03-25,2014-07-22,1.10,BhGCEJCUKSJOmUnLPPxuOjWELHDGC
20160330-210002,SEC,COMMON,ACTV,Q yJcMkJOQAuvqtzyMIkLbgmrMBATF,NYSE,481463259,1931-09-13,1887-03-09,0.85,0000000724
20160330-224818,SEC,PREF_A,ACTV,vzoFgiuchDjTQQDKuDiJjrZNngnrI,NASDAQ,991872722,1875-01-17,2015-01-14,1.94,xbCGSvHtpaQLBhTBRIxIDAebUGbmtjEsSlfmQZVKwqOgzVKrLI
20160331-082253,SEC,COMMON,ACTV,GHchpCDdSaeBFsgeOJWLHDUzHgJwULLAOmILKAWTVVNDFscNJKhYevJPDCoK,NYSE,540314609,1861-05-24,1944-12-01,2.28,0000001114
20160331-084130,SEC,COMMON,ACTV,qLtOgKCmYuGjFXCPNiQKeYXuiksBwmxCFCUORSFFRWBQjPoPnaGfVbnldqschnVllw,NASDAQ,419593104,1930-03-11,1967-09-27,0.47,0000001188
20160331-113821,SEC,PREF_B,ACTV,ADtDvrRktvCxGKChUsPPYlLIAiOcCClMJOAUDA,NASDAQ,474851419,1923-07-07,1926-02-18,2.63,0000001868
20160331-121609,SEC,PREF_A,ACTV,OTuFFHAPIeeOILsOXVCQCBl NllRiHYCXG nJSaYTKdPBNOWdQTdvAy,NASDAQ,256477404,1972-07-12,1894-12-27,0.71,0000000582
20160331-141935,SEC,COMMON,ACTV,taqOxGHPupnRCUduIfjz ozlBrTWLaPCyutVTqPPCpcOCGKwtOiryUuVO,NYSE,590813061,1942-03-28,1880-06-30,2.18,0000001938
20160331-153716,SEC,PREF_B,ACTV,tGmeTJhdqwxZDFLZsBGN,AMEX,508685288,2014-12-31,1939-08-17,0.82,0000001073
20160331-200013,SEC,COMMON,INAC,FPmNPlIOOMtfjrryKTrpuBeRljjshIekOmJA hFdX,NASDAQ,412459286,1867-12-30,2004-09-27,2.22,0000000870
20160331-235958,SEC,COMMON,ACTV,kjeMzytTmYU MjcOZdUnHRuLrx IgyiYEBpQASfJ,AMEX,572485224,1896-10-27,1995-04-25,0.21,dBBCsCzeivSxrOWJZkMbNfLitfJSVqvvAy
